method,path,file,guard,admin_check,ownership,flags,authz_matrix,notes
GET,/,static.py,none,no,n/a,public,UNPROVEN,SPA index; deliberate public
GET,/api,static.py,none,no,n/a,public,UNPROVEN,API name/version/block count; no tenant data
GET,/{full_path:path},static.py,none,no,n/a,public,UNPROVEN,SPA fallback; reserved prefixes 404
GET,/livez,health.py,none,no,n/a,public,UNPROVEN,Process liveness; no I/O; deliberate public
GET,/v1/upload-limits,health.py,none,no,n/a,public,UNPROVEN,Config only; documented unauthenticated
GET,/health,health.py,none,no,n/a,public,UNPROVEN,Render liveness; build_sha + db/embedder probes
GET,/ready,health.py,none,no,n/a,public,UNPROVEN,Readiness; 503 if DB down
GET,/stats,health.py,none,no,n/a,unguarded_non_public,UNPROVEN,Block inventory + version; no auth; not a health probe
GET,/v1/health,health.py,none,no,n/a,public,UNPROVEN,Health + observability payload
GET,/v1/system/health,health.py,none,no,n/a,unguarded_non_public,UNPROVEN,Full monitoring health_report; no auth; richer than /health
GET,/blocks,blocks.py,none,no,n/a,unguarded_non_public,UNPROVEN,Full block catalog + ui_schema; no auth
GET,/blocks/{block_name},blocks.py,none,no,n/a,unguarded_non_public,UNPROVEN,Block config + instance.get_stats(); no auth
GET,/v1/blocks,blocks.py,none,no,n/a,unguarded_non_public,UNPROVEN,Alias of GET /blocks
GET,/v1/blocks/{block_name},blocks.py,none,no,n/a,unguarded_non_public,UNPROVEN,Alias of GET /blocks/{name}
POST,/execute,execute.py,require_user,privileged_blocks_only,none — body.input/params may carry project_id/document_id with no store check,id_no_owner,UNPROVEN,Any signed-in user; raise_if_privileged_block(code/sandbox); construction/rag/etc. run with caller-supplied ids
POST,/v1/execute,execute.py,require_user,privileged_blocks_only,none — delegates to /execute,id_no_owner,UNPROVEN,EXISTS. Guard=require_user (JWT or API key→system user). Not admin. Not require_api_key-only. Privileged blocks code/sandbox admin-only.
POST,/chain,chain.py,require_user,privileged_blocks_only,none — step inputs may name any project/file,id_no_owner,UNPROVEN,Orchestrator chain; same privilege gate as execute
POST,/v1/chain,chain.py,require_user,privileged_blocks_only,none,id_no_owner,UNPROVEN,Alias of /chain
POST,/chat,chat.py,require_user,no,project_id in body: drop if get_project_accessible fails (_with_project_memory/_with_doc_search),—,OTHER_TENANCY,"test_chat_project_memory_tenancy covers helper, not HTTP cross-user. No conversation_id on this model."
POST,/chat/stream,chat.py,require_user,no,NONE — request.project_id unused; no memory/doc inject,—,UNPROVEN,Streaming chat block; project_id accepted but ignored; no tenant leak path via this handler
POST,/v1/chat,chat.py,require_user,no,same as /chat,—,OTHER_TENANCY,Alias of /chat
POST,/v1/chat/stream,chat.py,require_user,no,conversation_id: _enforce_conversation_access; project_id: get_project_accessible drop,—,UNPROVEN,Main UI stream. Conversation check imported from agents. Body conversation_id vs project_id can disagree — conv check is authoritative for ws-*
POST,/v1/chat/analyze-photo,chat_photos.py,require_user,no,none (ephemeral temp file; no project),—,UNPROVEN,Any signed-in user; no tenant id
POST,/upload,upload.py,require_api_key,no,optional Form project_id: get_project(user_id) or skip index; file stored regardless,id_no_owner,UNPROVEN,File lands in DATA_DIR even when project_id missing/unowned. API key→SYSTEM_USER_ID. No child-id.
POST,/v1/upload,upload.py,require_api_key,no,same as /upload,id_no_owner,UNPROVEN,Alias
POST,/ingest,upload.py,require_api_key,no,none (temp files; no project),—,UNPROVEN,Document engine pipeline; any API-key principal
POST,/ingest-via-block,upload.py,require_api_key,no,none,—,UNPROVEN,Same pipeline via BLOCK_REGISTRY
POST,/v1/auth/validate,auth.py,require_api_key,no,body.api_key — any authenticated caller can validate ANY key,id_no_owner,UNPROVEN,No admin gate. Cross-key probe: caller A validates caller B's key
POST,/v1/auth/keys,auth.py,require_api_key,yes _require_admin,n/a (creates key),—,UNPROVEN,Admin mint
DELETE,/v1/auth/keys/{api_key},auth.py,require_api_key,yes _require_admin,path api_key; admin global,—,UNPROVEN,Admin revoke by URL
